t (s),V (mV)
0.1,15.4792
0.95,15.4635
1.9,15.449
2.851,15.4339
3.852,15.418
4.853,15.4001
5.854,15.3807
6.855,15.3619
7.856,15.3416
8.857,15.322
9.858,15.3014
10.859,15.2815
11.86,15.2614
12.861,15.2399
13.862,15.2182
14.831,15.2003
15.832,15.1814
16.833,15.1617
17.834,15.1415
18.835,15.1216
19.836,15.0988
20.837,15.0794
21.838,15.0584
22.839,15.04
23.84,15.0203
24.841,15
25.842,14.9806
26.843,14.9612
27.844,14.9389
28.845,14.911
29.846,14.8911
30.847,14.8831
31.848,14.865
32.849,14.8475
33.85,14.8291
34.851,14.8113
35.852,14.7945
36.853,14.7752
37.854,14.7574
38.855,14.7392
39.856,14.7207
40.857,14.7021
41.858,14.6837
42.859,14.6658
43.86,14.6482
44.861,14.6294
45.862,14.6092
46.831,14.5876
47.832,14.57
48.833,14.556
49.834,14.5393
50.835,14.5191
51.836,14.501
52.837,14.482
53.838,14.4626
54.839,14.4425
55.84,14.4244
56.841,14.4057
57.842,14.3887
58.843,14.3704
59.844,14.3532
60.845,14.3352
61.846,14.3172
62.847,14.2965
63.848,14.2818
64.849,14.2643
65.85,14.2455
66.851,14.2291
67.852,14.2123
68.853,14.1943
69.854,14.1765
70.855,14.1599
71.856,14.1438
72.857,14.127
73.858,14.1101
74.859,14.0929
75.86,14.0761
76.861,14.058
77.862,14.0407
78.831,14.0239
79.832,14.0063
80.833,13.9887
81.834,13.9721
82.835,13.9549
83.836,13.9374
84.837,13.921
85.838,13.9048
86.839,13.8876
87.84,13.8699
88.841,13.8518
89.842,13.8368
90.844,13.8211
91.845,13.8037
92.846,13.7862
93.847,13.7697
94.848,13.7533
95.849,13.7367
96.85,13.7203
97.851,13.7042
98.852,13.6875
99.853,13.6709
100.854,13.6564
101.855,13.6389
102.856,13.6223
103.857,13.6062
104.858,13.5894
105.859,13.573
106.86,13.5565
107.861,13.5405
108.862,13.5236
109.831,13.5073
110.851,13.4905
111.852,13.4743
112.853,13.458
113.854,13.4421
114.855,13.4255
115.856,13.4097
116.857,13.3936
117.858,13.3775
118.859,13.3608
119.86,13.344
120.861,13.3266
121.862,13.3104
122.831,13.2952
123.851,13.2789
124.852,13.2634
125.853,13.2477
126.854,13.2318
127.855,13.2168
128.856,13.2013
129.857,13.1864
130.858,13.1711
131.859,13.1551
132.86,13.1396
133.861,13.1231
134.862,13.1078
135.831,13.0928
136.852,13.0762
137.853,13.0601
138.854,13.0441
139.855,13.0293
140.856,13.0142
141.857,12.9985
142.858,12.9832
143.859,12.9662
144.86,12.953
145.861,12.9362
146.862,12.9214
147.831,12.9076
148.832,12.8924
149.833,12.8756
150.834,12.8623
151.835,12.8463
152.836,12.831
153.837,12.8165
154.838,12.8012
155.839,12.7821
156.84,12.7698
157.841,12.7547
158.842,12.7384
159.843,12.7219
160.844,12.7066
161.845,12.6901
162.846,12.6742
163.847,12.658
164.848,12.6424
165.849,12.6273
166.85,12.6117
167.851,12.597
168.852,12.5821
169.853,12.5666
170.854,12.5527
171.855,12.5376
172.856,12.5228
