t,V
0,13.4057
1,13.3842
2.001,13.3624
3,13.3403
4,13.3169
5,13.2949
6.001,13.2732
7,13.2497
8.001,13.2265
9,13.2041
10,13.1803
11,13.158
12,13.1343
13,13.1109
14,13.0881
15,13.0646
16,13.0424
17.001,13.0193
18,12.9962
19,12.9732
20.001,12.9507
21,12.9269
22,12.9025
23.001,12.8802
24,12.8581
25.001,12.8363
26,12.8134
27.001,12.792
28.001,12.7696
29,12.7463
30,12.724
31,12.7026
32.001,12.6805
33.001,12.6578
34.001,12.6357
35,12.6137
36,12.5917
37,12.5705
38.001,12.5486
39.001,12.5262
40.001,12.5039
41,12.4819
42.001,12.4601
43.001,12.4382
44,12.4163
45,12.3947
46.001,12.3732
47,12.3509
48,12.3298
49.001,12.3088
50,12.2868
51,12.2651
52.001,12.2437
53.001,12.2236
54,12.2013
55.001,12.1806
56,12.1591
57,12.1378
58,12.1168
59.001,12.095
60,12.0747
61,12.0533
62.001,12.0324
63.001,12.011
64,11.9911
65,11.9698
66,11.948
67,11.9282
68,11.9076
69.001,11.8891
70,11.8645
71,11.8448
72,11.8236
73,11.8038
74,11.783
75.001,11.7633
76,11.7415
77.001,11.7213
78,11.7017
79.001,11.6818
80,11.6613
81.001,11.6419
82,11.6212
83.001,11.6011
84,11.5811
85,11.5617
86,11.5406
87,11.521
88,11.5018
89,11.4812
90,11.462
91,11.4423
92,11.4224
93,11.4033
94,11.3836
95,11.3634
96,11.3442
97.001,11.3245
98.001,11.3046
99,11.2857
100,11.2656
101,11.2466
102,11.2262
103,11.2062
104.001,11.1869
105,11.1679
106.001,11.1476
107,11.1294
108,11.1099
109.001,11.0908
110,11.0713
111,11.0527
112.001,11.0335
113,11.0157
114,10.9949
115,10.977
116.001,10.9575
117.001,10.9378
118,10.9193
119,10.9004
120.001,10.8817
121.001,10.8613
122,10.8427
123.001,10.8244
124.001,10.8057
125,10.7878
126,10.769
127.001,10.75
128,10.7314
129.001,10.713
130,10.6947
131,10.6765
132,10.6572
133,10.6393
134.001,10.6202
135,10.6022
135.999,10.5837
137,10.5649
137.999,10.5475
139,10.5301
139.999,10.5117
141,10.4941
142,10.4743
142.999,10.4584
144,10.4401
144.999,10.4219
145.999,10.4045
146.999,10.3861
147.999,10.3691
148.999,10.3517
149.999,10.3339
151,10.3163
152,10.2987
152.999,10.2815
153.999,10.2638
154.999,10.2447
155.999,10.2288
156.999,10.2108
158,10.1936
159,10.1763
159.999,10.1586
160.999,10.1406
162,10.1244
162.999,10.1058
