t (s),V (mV)
0,19.375
0.999,19.3159
1.999,19.2596
2.999,19.2039
3.999,19.1467
4.999,19.0889
5.999,19.0321
6.999,18.978
7.999,18.9188
9.002,18.8579
9.999,18.8064
10.999,18.7518
11.999,18.6946
12.999,18.6403
13.999,18.5838
14.999,18.528
15.999,18.4726
16.999,18.4175
17.999,18.3622
18.999,18.3071
19.999,18.2523
20.999,18.1989
21.999,18.1452
22.999,18.0903
23.999,18.0368
24.999,17.9833
25.999,17.9298
26.999,17.8775
27.999,17.8233
28.999,17.7704
29.999,17.7178
30.999,17.6639
31.999,17.6108
32.999,17.5575
33.999,17.5036
34.999,17.4543
35.999,17.4043
36.999,17.3507
37.999,17.2978
38.999,17.2491
39.999,17.1958
40.999,17.1447
41.999,17.0935
42.999,17.0419
43.999,16.9946
44.999,16.9454
45.999,16.8927
46.999,16.8453
47.999,16.7976
48.999,16.7455
49.999,16.6947
50.999,16.6442
51.999,16.5965
52.999,16.5467
53.999,16.5054
54.999,16.4528
55.999,16.4111
56.999,16.3652
57.999,16.3177
58.999,16.2696
59.999,16.2211
60.999,16.1754
61.999,16.1273
62.999,16.081
63.999,16.0304
64.999,15.9838
65.999,15.9365
66.999,15.8897
67.999,15.8442
68.999,15.7983
69.999,15.7504
70.999,15.7051
71.999,15.6588
72.999,15.6112
73.999,15.5645
74.999,15.5208
75.999,15.476
76.999,15.4287
77.999,15.3827
78.999,15.3392
79.999,15.2881
80.999,15.2462
81.999,15.2017
82.999,15.1581
83.999,15.1139
84.999,15.0705
85.999,15.0251
86.999,14.9806
87.999,14.9366
88.999,14.8938
89.999,14.8507
90.999,14.8053
91.999,14.762
92.999,14.7191
93.999,14.6748
94.999,14.632
95.999,14.5883
96.999,14.5461
97.999,14.5028
98.999,14.4593
99.999,14.4179
100.999,14.3752
101.999,14.333
102.999,14.2896
103.999,14.2477
104.999,14.2071
105.999,14.1655
106.999,14.1236
107.999,14.082
108.999,14.0403
109.999,13.9987
110.999,13.9572
111.999,13.9171
112.999,13.8759
113.999,13.8349
114.999,13.7937
115.999,13.753
116.999,13.7115
117.999,13.671
118.999,13.6312
119.999,13.5915
120.999,13.5503
121.999,13.512
122.999,13.4725
123.999,13.4331
124.999,13.3944
125.999,13.3559
126.999,13.3164
127.999,13.2792
128.999,13.2409
129.999,13.2024
130.999,13.1628
131.999,13.1241
132.999,13.0854
133.999,13.0469
134.999,13.009
135.999,12.9713
136.999,12.933
137.999,12.8959
138.999,12.8572
139.999,12.8198
140.999,12.7824
141.999,12.7419
142.999,12.7044
143.999,12.6669
144.999,12.629
145.999,12.5919
146.999,12.5553
147.999,12.5183
148.999,12.4805
149.999,12.4447
150.999,12.4082
151.999,12.3697
152.999,12.3339
153.999,12.2978
154.999,12.2607
155.999,12.2251
156.999,12.1893
157.999,12.1533
158.999,12.1194
159.999,12.0844
160.999,12.0497
161.999,12.0153
162.999,11.9799
163.999,11.9453
164.999,11.9107
165.999,11.8766
166.999,11.8414
167.999,11.8074
168.999,11.775
169.999,11.7377
170.999,11.7018
171.999,11.6675
172.999,11.6342
173.999,11.5994
174.999,11.5663
175.999,11.5322
176.999,11.4994
177.999,11.4651
178.999,11.4318
179.999,11.3975
180.999,11.3641
181.999,11.3287
182.999,11.2954
183.999,11.2625
184.999,11.2275
185.999,11.1939
186.999,11.1606
187.999,11.1272
188.999,11.0939
189.999,11.0609
190.999,11.0283
191.999,10.9954
192.999,10.963
193.999,10.9295
194.999,10.8973
195.999,10.8656
196.999,10.8335
197.999,10.8026
198.999,10.7725
199.999,10.7412
200.999,10.7095
201.999,10.6789
202.999,10.6474
203.998,10.6168
204.998,10.5852
205.999,10.5555
206.998,10.5239
207.998,10.4933
208.998,10.4628
209.998,10.4317
210.998,10.4005
211.998,10.3717
212.998,10.3397
213.998,10.3098
214.998,10.2789
215.998,10.246
216.998,10.2166
217.998,10.1854
218.998,10.1553
219.998,10.1236
220.998,10.0939
221.998,10.0642
222.998,10.0343
223.998,10.0053
224.999,9.9752
225.999,9.9459
226.998,9.9174
227.999,9.8879
228.999,9.8593
229.999,9.8301
230.999,9.8016
231.999,9.7708
232.999,9.742
233.999,9.7129
234.999,9.6834
235.999,9.6546
236.999,9.6267
237.999,9.5979
238.999,9.5704
239.999,9.5421
240.998,9.5135
241.999,9.4848
242.999,9.4547
243.999,9.4289
244.999,9.4012
245.999,9.3721
246.999,9.3413
247.999,9.3171
248.999,9.2922
249.999,9.2587
250.999,9.236
251.999,9.2083
252.999,9.1822
253.999,9.1556
254.999,9.1298
255.999,9.1016
256.999,9.0742
257.999,9.0475
258.999,9.0198
259.999,8.9924
260.999,8.9643
261.999,8.9386
