t,V
0,15.7302
0.999,15.7151
1.999,15.7016
3,15.6864
3.999,15.6718
5,15.6578
6,15.6426
6.999,15.6281
7.999,15.6125
9,15.5969
10,15.5819
10.999,15.5662
11.999,15.5497
12.999,15.534
13.999,15.5187
15,15.5034
15.999,15.4866
16.999,15.4704
17.999,15.4548
18.999,15.4379
19.999,15.4233
21,15.4072
21.999,15.3903
22.999,15.374
24,15.3588
24.999,15.3426
25.999,15.3276
26.999,15.3117
28,15.296
28.999,15.2801
29.999,15.2641
30.999,15.2479
32,15.2328
32.999,15.2165
33.999,15.2012
35,15.1844
35.999,15.1701
36.999,15.1545
38,15.1387
38.999,15.123
39.999,15.1079
40.999,15.0913
42,15.0771
42.999,15.0608
43.999,15.0459
44.999,15.0298
45.999,15.0132
46.999,14.9975
47.999,14.9822
48.999,14.9652
50,14.9518
50.999,14.936
51.999,14.9208
53,14.9059
53.999,14.8895
54.999,14.8737
55.999,14.8583
56.999,14.8437
57.999,14.8281
59,14.8125
60,14.7986
60.999,14.7821
61.999,14.7673
62.999,14.752
64,14.7364
64.999,14.7222
65.999,14.7073
66.999,14.6914
68,14.6759
69,14.6616
69.999,14.6453
70.999,14.6308
71.999,14.6152
73,14.6001
74,14.5852
74.999,14.571
75.999,14.556
76.999,14.5409
78,14.5251
79,14.5112
80,14.4963
80.999,14.481
82,14.4659
82.999,14.452
83.999,14.4376
84.999,14.4222
85.999,14.4076
86.999,14.3923
87.999,14.3788
88.999,14.3626
89.999,14.3493
91,14.3341
91.999,14.3191
92.999,14.3041
93.999,14.2899
94.999,14.2744
95.999,14.2603
96.999,14.2453
97.999,14.2315
98.999,14.217
100,14.2019
100.999,14.1879
101.999,14.1737
102.999,14.1591
103.999,14.1461
104.999,14.132
106,14.1168
107,14.1014
107.999,14.0886
108.999,14.0739
109.999,14.0599
110.999,14.0461
111.999,14.0305
112.999,14.0173
113.999,14.0029
114.999,13.9896
116,13.9741
117,13.9608
118,13.9463
119,13.9318
120,13.9187
121,13.9053
121.999,13.8914
122.999,13.8774
123.999,13.8635
124.999,13.8503
125.999,13.8364
126.999,13.8223
128,13.8076
129,13.7937
130,13.7801
131,13.7656
132,13.7527
133,13.7385
134,13.725
135,13.7116
136,13.6978
137,13.685
138,13.6709
139,13.6556
140,13.6429
141,13.6305
142,13.6154
142.999,13.6024
143.999,13.5892
144.999,13.5751
145.999,13.562
146.999,13.5479
147.999,13.5346
148.999,13.5218
150,13.5083
151,13.4952
152,13.4819
153,13.4688
154,13.455
155,13.4423
155.999,13.4277
156.999,13.4158
158,13.4021
159,13.3892
160,13.3755
161,13.3622
162,13.3488
162.999,13.3344
163.999,13.3221
164.999,13.3079
165.999,13.2955
166.999,13.2821
168,13.2693
168.999,13.2556
170,13.242
170.999,13.2295
171.999,13.2165
172.999,13.2028
173.999,13.1905
174.999,13.1777
175.999,13.1638
176.999,13.1519
177.999,13.1383
178.999,13.1268
180,13.1122
181,13.1001
182,13.0877
183,13.0751
184,13.062
185,13.0495
186,13.0369
186.999,13.0235
187.999,13.0112
188.999,12.9987
189.999,12.9865
190.999,12.9737
191.999,12.9606
192.999,12.9481
193.999,12.9349
195,12.9207
196,12.9086
197,12.8954
198,12.883
199,12.8725
199.999,12.8562
200.999,12.8457
201.999,12.8264
203,12.8211
204,12.8081
204.999,12.7929
205.999,12.7817
206.999,12.7685
207.999,12.7572
209,12.7434
210,12.7313
211,12.7183
212,12.7049
213,12.6932
214,12.68
215,12.6672
216,12.6539
217,12.6408
218,12.6277
218.999,12.616
219.999,12.6042
220.999,12.5911
221.999,12.5779
223,12.567
223.999,12.5541
224.999,12.5422
225.999,12.5295
226.999,12.5173
228,12.5055
228.999,12.4934
229.999,12.4816
230.999,12.4706
231.999,12.4584
232.999,12.4474
234,12.4356
234.999,12.4237
235.999,12.4121
237,12.4004
238,12.3891
238.999,12.3769
239.999,12.3651
240.999,12.3531
241.999,12.3419
242.999,12.3291
243.999,12.3187
245,12.3071
246,12.295
246.999,12.2821
248,12.2714
248.999,12.2592
249.999,12.2471
250.999,12.2361
252,12.2245
252.999,12.2117
253.999,12.2016
254.999,12.1897
255.999,12.177
257,12.1658
258,12.1534
258.999,12.1423
259.999,12.1304
261,12.1184
262,12.107
262.999,12.0956
263.999,12.0826
264.999,12.0716
265.999,12.0605
266.999,12.0498
268,12.0384
269,12.0271
269.999,12.0157
270.999,12.0038
272,11.9917
272.999,11.9806
274,11.9696
275,11.958
275.999,11.9455
276.999,11.935
278,11.9241
279,11.913
279.999,11.9014
281,11.8895
282,11.879
282.999,11.8675
283.999,11.8557
284.999,11.8451
286,11.8342
287,11.8226
287.999,11.8111
288.999,11.7997
290,11.7883
291,11.7774
291.999,11.7665
292.999,11.7553
293.999,11.7438
294.999,11.7331
295.999,11.7215
297,11.7103
297.999,11.7
299,11.6883
299.999,11.6784
300.999,11.6676
302,11.6558
302.999,11.6456
303.999,11.6353
305,11.623
306,11.6126
306.999,11.6015
308,11.5921
309,11.5809
309.999,11.5697
310.999,11.5589
312,11.548
313,11.5379
313.999,11.5259
314.999,11.5159
315.999,11.5087
317,11.4941
317.999,11.4839
318.999,11.4748
320,11.4622
320.999,11.4501
322,11.4406
322.999,11.4291
323.999,11.4225
325,11.4088
325.999,11.3971
327,11.3869
327.999,11.3758
328.999,11.366
330,11.3557
330.999,11.3446
332,11.3352
333,11.3238
333.999,11.3141
335,11.3028
336,11.293
336.999,11.2817
338,11.271
338.999,11.2602
339.999,11.2498
341,11.2395
342,11.2296
342.999,11.2178
344,11.2082
344.999,11.1972
345.999,11.1865
347,11.1775
347.999,11.1668
348.999,11.1557
350,11.1442
350.999,11.1378
351.999,11.1249
353,11.114
353.999,11.1047
354.999,11.094
356,11.0849
356.999,11.0749
358,11.0644
