t (s),V (mV)
0,21.8075
1.05,21.7415
2.08,21.6764
3.081,21.6118
4.082,21.5472
5.083,21.4831
6.084,21.4184
7.085,21.3547
8.086,21.2902
9.087,21.2263
10.088,21.1625
11.089,21.0985
12.09,21.0354
13.091,20.9722
14.092,20.9101
15.093,20.8471
16.094,20.7859
17.095,20.724
18.096,20.6622
19.097,20.6007
20.098,20.5388
21.099,20.478
22.1,20.4172
23.101,20.3561
24.102,20.2949
25.103,20.2356
26.104,20.1736
27.105,20.114
28.106,20.0532
29.107,19.9928
30.108,19.9332
31.109,19.8609
32.11,19.8181
33.111,19.7559
34.081,19.6975
35.082,19.6383
36.083,19.5798
37.085,19.521
38.086,19.4628
39.087,19.4061
40.088,19.3475
41.089,19.2902
42.09,19.2328
43.091,19.1756
44.092,19.1187
45.093,19.0625
46.094,19.0057
47.095,18.95
48.096,18.8933
49.097,18.837
50.098,18.7818
51.099,18.7267
52.1,18.6707
53.101,18.6162
54.102,18.5609
55.103,18.5054
56.104,18.4506
57.105,18.3951
58.106,18.3398
59.107,18.2851
60.108,18.2292
61.109,18.1754
62.11,18.1204
63.111,18.0658
64.081,18.0136
65.082,17.9599
66.083,17.9066
67.084,17.8528
68.085,17.7999
69.086,17.7476
70.087,17.6948
71.088,17.6439
72.089,17.5917
73.09,17.5405
74.091,17.4898
75.092,17.4379
76.093,17.3857
77.094,17.3356
78.095,17.2853
79.096,17.2352
80.097,17.1845
81.098,17.1344
82.099,17.0842
83.1,17.034
84.101,16.9838
85.102,16.933
86.103,16.8837
87.104,16.8339
88.105,16.7836
89.106,16.7332
90.107,16.6831
91.109,16.6331
92.109,16.5824
93.11,16.5322
94.111,16.4828
95.081,16.4349
96.082,16.385
97.083,16.3362
98.084,16.287
99.085,16.2386
100.086,16.1903
101.087,16.141
102.088,16.0944
103.089,16.0472
104.09,16.0004
105.091,15.9533
106.092,15.9065
107.093,15.8595
108.094,15.8136
109.095,15.7669
110.096,15.7205
111.097,15.674
112.098,15.628
113.099,15.5831
114.1,15.5367
115.101,15.4922
116.102,15.4466
117.103,15.4008
118.104,15.3546
119.105,15.3103
120.106,15.2654
121.107,15.2202
122.108,15.1751
123.109,15.1312
124.11,15.0861
125.08,15.0429
126.081,14.9978
127.082,14.952
128.083,14.9078
129.084,14.8627
130.085,14.8184
131.086,14.7755
132.087,14.7322
133.088,14.6886
134.089,14.6451
135.09,14.6019
136.092,14.559
137.093,14.5163
138.094,14.4738
139.095,14.4316
140.096,14.3882
141.097,14.346
142.098,14.3038
143.099,14.2627
144.1,14.224
145.101,14.1804
146.102,14.1371
147.103,14.0955
148.104,14.054
149.105,14.0124
150.106,13.972
151.107,13.9311
152.108,13.8901
153.109,13.8493
154.11,13.8084
155.111,13.7695
156.081,13.7314
157.082,13.6916
158.083,13.6519
159.084,13.6129
160.085,13.5737
161.086,13.5347
162.087,13.4965
163.088,13.4582
164.089,13.4193
165.09,13.3822
166.091,13.3446
167.092,13.3063
168.093,13.2686
169.094,13.2301
170.095,13.1923
171.096,13.1548
172.097,13.1175
173.098,13.0805
174.099,13.0427
175.1,13.0059
176.101,12.9685
177.102,12.9314
178.103,12.8949
179.104,12.8571
180.105,12.8193
181.106,12.7822
182.107,12.7453
183.108,12.708
184.109,12.6715
185.11,12.6341
186.08,12.5988
187.081,12.5613
188.082,12.5246
189.083,12.4869
190.084,12.4487
191.085,12.4104
192.086,12.3739
193.087,12.3381
194.088,12.3019
195.089,12.267
196.09,12.2308
197.091,12.1944
198.092,12.1586
199.093,12.1242
200.094,12.089
201.095,12.0528
202.096,12.0177
203.097,11.9825
204.098,11.9468
205.099,11.911
206.1,11.8747
207.101,11.8394
208.102,11.8034
209.103,11.7685
210.104,11.7338
211.105,11.6994
212.106,11.6641
213.107,11.6292
214.108,11.596
215.109,11.5624
216.11,11.5284
217.111,11.4946
218.081,11.4603
219.082,11.4297
220.083,11.3968
221.084,11.3636
222.085,11.3305
223.086,11.298
224.087,11.266
225.088,11.2334
226.089,11.2025
227.09,11.1704
228.091,11.1384
229.092,11.1082
230.093,11.0803
231.094,11.0528
232.095,11.0253
233.096,10.9934
234.097,10.9582
