I1,V,V3/2,I
1.3,0.5,0.35,3.90
1.3,1.0,1.00,13.10
1.3,1.5,1.84,24.62
1.3,2.0,2.83,39.10
1.3,2.5,3.95,73.75
1.3,3.0,5.20,76.16
1.3,3.5,6.55,96.84
1.3,4.0,8.00,116.00
1.3,4.5,9.55,138.54
1.3,5.0,11.18,165.31
1.3,5.5,12.90,191.54
1.3,6.0,14.70,214.80
1.3,7.0,18.52,275.19
1.3,8.0,22.63,333.90
1.3,9.0,27.00,402.07
1.3,10.0,31.62,472.20
1.3,15.0,58.09,919.50
1.3,20.0,89.44,1,426.70
1.3,25.0,125.00,2,019.30
1.3,30.0,164.32,2,666.90
1.3,35.0,207.06,3,359.20
1.3,40.0,252.98,4,088.80
1.3,45.0,301.87,4,841.80
1.3,50.0,353.55,5,714.00
1.4,0.5,0.35,8.53
1.4,1.0,1.00,19.93
1.4,1.5,1.84,35.21
1.4,2.0,2.83,51.27
1.4,2.5,3.95,69.37
1.4,3.0,5.20,88.80
1.4,3.5,6.55,110.94
1.4,4.0,8.00,134.56
1.4,4.5,9.55,159.66
1.4,5.0,11.18,187.45
1.4,5.5,12.90,210.30
1.4,6.0,14.70,238.74
1.4,7.0,18.52,302.34
1.4,8.0,22.63,363.40
1.4,9.0,27.00,436.81
1.4,10.0,31.62,542.50
1.4,15.0,58.09,971.40
1.4,20.0,89.44,1,505.90
1.4,25.0,125.00,2,119.10
1.4,30.0,164.32,2,791.10
1.4,35.0,207.06,3,513.90
1.4,40.0,252.98,4,258.90
1.4,45.0,301.87,5,181.00
1.4,50.0,353.55,6,051.00
1.5,0.5,0.35,14.72
1.5,1.0,1.00,28.85
1.5,1.5,1.84,45.39
1.5,2.0,2.83,61.55
1.5,2.5,3.95,83.72
1.5,3.0,5.20,103.90
1.5,3.5,6.55,122.47
1.5,4.0,8.00,155.93
1.5,4.5,9.55,179.77
1.5,5.0,11.18,206.73
1.5,5.5,12.90,232.52
1.5,6.0,14.70,263.00
1.5,7.0,18.52,327.43
1.5,8.0,22.63,391.20
1.5,9.0,27.00,464.11
1.5,10.0,31.62,576.70
1.5,15.0,58.09,1,018.30
1.5,20.0,89.44,1,566.80
1.5,25.0,125.00,2,180.80
1.5,30.0,164.32,2,868.90
1.5,35.0,207.06,3,593.10
1.5,40.0,252.98,4,371.30
1.5,45.0,301.87,5,285.00
1.5,50.0,353.55,6,177.00
