I1,V,V3/2,I
1.4,0.5,0.35,8.53
1.4,1.0,1.00,19.93
1.4,1.5,1.84,35.21
1.4,2.0,2.83,51.27
1.4,2.5,3.95,69.37
1.4,3.0,5.20,88.80
1.4,3.5,6.55,110.94
1.4,4.0,8.00,134.56
1.4,4.5,9.55,159.66
1.4,5.0,11.18,187.45
1.4,5.5,12.90,210.30
1.4,6.0,14.70,238.74
1.4,7.0,18.52,302.34
1.4,8.0,22.63,363.40
1.4,9.0,27.00,436.81
1.4,10.0,31.62,542.50
1.4,15.0,58.09,971.40
1.4,20.0,89.44,1505.90
1.4,25.0,125.00,2119.10
1.4,30.0,164.32,2791.10
1.4,35.0,207.06,3513.90
1.4,40.0,252.98,4258.90
1.4,45.0,301.87,5181.00
1.4,50.0,353.55,6051.00
