t,V
0,15.1968
1,15.1905
1.999,15.1841
2.999,15.175
3.999,15.1722
4.999,15.1661
5.999,15.1606
6.999,15.1531
8,15.1468
8.999,15.1441
9.999,15.1328
10.999,15.1255
12,15.1177
12.999,15.1104
14,15.1027
14.999,15.0946
15.999,15.0846
17,15.0752
18,15.0711
18.999,15.0603
19.999,15.0553
20.999,15.045
22,15.0372
22.999,15.0309
23.999,15.0218
25,15.0121
26,15.0043
26.999,14.9958
27.999,14.9889
28.999,14.9794
30,14.9707
30.999,14.9625
31.999,14.9546
32.999,14.9455
33.999,14.9382
35,14.9307
35.999,14.9264
36.999,14.9141
37.999,14.9074
38.999,14.8984
39.999,14.8942
41,14.8861
41.999,14.8773
43,14.8699
43.999,14.8621
45,14.8561
45.999,14.8536
46.999,14.8404
47.999,14.8345
48.999,14.8262
49.999,14.8172
50.999,14.8094
52,14.8016
52.999,14.7944
53.999,14.7862
55,14.7783
55.999,14.7703
56.999,14.7631
58.042,14.7515
59.017,14.7485
60,14.7381
60.999,14.7311
61.999,14.7238
62.999,14.7154
63.999,14.707
65,14.6993
65.999,14.6923
67,14.6846
67.999,14.6769
69,14.6702
69.999,14.6617
70.999,14.6537
71.999,14.6472
72.999,14.6385
73.999,14.6297
75,14.6227
75.999,14.6162
76.999,14.6075
78,14.6027
78.999,14.5924
79.999,14.5846
80.999,14.5772
81.999,14.5682
83,14.5614
83.999,14.5541
84.999,14.547
85.999,14.5397
86.999,14.5179
87.999,14.5213
88.999,14.5178
90,14.5123
90.999,14.5051
91.999,14.4972
92.999,14.4909
93.999,14.483
95,14.4762
95.999,14.4691
96.999,14.4613
98,14.4539
98.999,14.4464
99.999,14.4401
100.999,14.433
101.999,14.425
102.999,14.418
103.999,14.4102
105,14.4036
105.999,14.3957
106.999,14.3881
108,14.3816
108.999,14.3751
109.999,14.3676
111,14.3599
111.999,14.3525
112.999,14.3467
113.999,14.3395
114.999,14.3326
116,14.3257
116.999,14.3182
117.999,14.3106
118.999,14.3035
119.999,14.2974
120.999,14.2902
121.999,14.2827
123,14.2754
123.999,14.2688
124.999,14.2612
126,14.2551
126.999,14.248
127.999,14.24
128.999,14.2333
129.999,14.2262
131,14.219
131.999,14.2126
132.999,14.2061
133.999,14.1989
135,14.193
135.999,14.186
136.999,14.1783
138,14.1727
139,14.1672
140,14.1593
141,14.1531
141.999,14.146
142.999,14.1383
143.999,14.133
144.999,14.1265
146,14.1202
146.999,14.113
147.999,14.1064
148.999,14.0997
149.999,14.0937
150.999,14.0879
151.999,14.0816
152.999,14.0744
154,14.0678
155,14.0613
155.999,14.0544
157,14.0477
157.999,14.0416
158.999,14.035
159.999,14.0287
160.999,14.022
161.999,14.0156
162.999,14.0095
164,14.0026
164.999,13.9966
165.999,13.9906
166.999,13.9841
167.999,13.9773
169,13.9717
169.999,13.9645
170.999,13.9579
171.999,13.9513
172.999,13.9452
173.999,13.9394
174.999,13.9329
175.999,13.9267
176.999,13.92
177.999,13.9132
178.999,13.9069
179.999,13.8995
180.999,13.8928
182,13.8876
182.999,13.8804
183.999,13.8743
184.999,13.8679
186,13.862
186.999,13.8549
187.999,13.8491
188.999,13.843
189.999,13.836
190.999,13.8301
191.999,13.8239
192.999,13.8158
193.999,13.8097
194.999,13.8049
195.999,13.7972
197,13.7949
197.999,13.7865
198.999,13.7784
199.999,13.7718
200.999,13.7651
201.999,13.7591
202.999,13.7514
203.999,13.7458
205,13.7402
206,13.7349
206.999,13.7266
207.999,13.7198
208.999,13.7143
210,13.7088
211,13.702
211.999,13.6953
212.999,13.6896
213.999,13.6829
215,13.6769
216,13.672
217,13.6659
217.999,13.6596
218.999,13.6514
219.999,13.6473
221,13.6415
222,13.6355
222.999,13.6304
223.999,13.6231
224.999,13.6181
225.999,13.6127
227,13.6062
227.999,13.6013
228.999,13.5959
229.999,13.5902
231,13.5834
231.999,13.5784
232.999,13.5721
233.999,13.5667
234.999,13.562
235.999,13.5551
237,13.5491
238,13.5429
238.999,13.537
239.999,13.5316
240.999,13.5233
242,13.5173
242.999,13.5105
243.999,13.5061
244.999,13.4984
246,13.4916
247,13.4854
248,13.4801
249,13.4736
249.999,13.4673
250.999,13.4618
251.999,13.454
252.999,13.4482
253.999,13.4433
255,13.4363
255.999,13.4312
257,13.4262
258,13.4198
258.999,13.4149
259.999,13.4083
260.999,13.4027
261.999,13.3973
262.999,13.3903
264,13.3862
265,13.3801
265.999,13.3751
266.999,13.3682
267.999,13.3623
268.999,13.3572
269.999,13.3534
270.999,13.3457
271.999,13.3416
272.999,13.333
274,13.3286
275,13.3248
276,13.3165
276.999,13.3112
278,13.3058
279,13.2998
279.999,13.2938
280.999,13.2874
281.999,13.2804
282.999,13.2757
283.999,13.271
284.999,13.264
285.999,13.2571
286.999,13.2516
287.999,13.2463
288.999,13.2399
289.999,13.2343
290.999,13.2292
291.999,13.2229
292.999,13.2166
294,13.212
295,13.205
296,13.1993
297,13.1939
297.999,13.1882
298.999,13.1842
299.999,13.1786
300.999,13.1739
301.999,13.1672
303,13.1631
304,13.1581
305,13.1526
305.999,13.1473
306.999,13.1413
307.999,13.1358
308.999,13.1303
309.999,13.1245
310.999,13.119
311.999,13.1143
312.999,13.1085
313.999,13.1034
314.999,13.0983
315.999,13.0946
316.999,13.0887
317.999,13.0813
319,13.075
320,13.068
321,13.0627
321.999,13.0572
323,13.0503
324,13.0444
325,13.0389
326,13.0319
327,13.0264
328,13.0204
328.999,13.015
329.999,13.0097
330.999,13.004
331.999,12.9979
332.999,12.9919
333.999,12.9869
334.999,12.9804
335.999,12.9749
336.999,12.9721
337.999,12.9655
339,12.9606
339.999,12.9534
340.999,12.9482
341.999,12.9435
342.999,12.9376
344,12.9324
345,12.9269
345.999,12.9205
346.999,12.9157
347.999,12.9126
348.999,12.9059
349.999,12.8992
350.999,12.8941
351.999,12.8888
353,12.8831
354,12.8784
355,12.8723
355.999,12.8667
356.999,12.8618
357.999,12.8558
358.999,12.8504
359.999,12.845
360.999,12.8395
362,12.8331
363,12.8271
364,12.8233
364.999,12.8174
365.999,12.8121
366.999,12.8081
367.999,12.8018
368.999,12.7971
369.999,12.7914
371,12.7864
372,12.7807
373,12.7758
374,12.7689
375,12.7638
376,12.758
376.999,12.7532
377.999,12.7474
378.999,12.7418
379.999,12.7369
381,12.7311
382,12.7261
382.999,12.7208
383.999,12.7159
384.999,12.7101
385.999,12.7058
386.999,12.7003
387.999,12.6958
388.999,12.69
389.999,12.6847
390.999,12.6807
392,12.6751
392.999,12.6698
393.999,12.666
394.999,12.6606
395.999,12.6568
396.999,12.6512
397.999,12.6465
399,12.6416
400,12.6366
401,12.6311
401.999,12.6266
402.999,12.6211
404,12.616
404.999,12.6106
405.999,12.6053
406.999,12.5999
407.999,12.5949
409,12.5899
410,12.585
411,12.5798
411.999,12.5744
412.999,12.5693
413.999,12.564
414.999,12.5589
416,12.5537
416.999,12.5487
418,12.5429
419,12.5375
419.999,12.5318
420.999,12.5266
421.999,12.5219
422.999,12.5158
424,12.5113
425,12.5071
425.999,12.5003
426.999,12.4949
427.999,12.4901
428.999,12.484
429.999,12.4797
430.999,12.475
432,12.47
432.999,12.4643
433.999,12.4594
434.999,12.4536
435.999,12.448
437,12.4434
438,12.4381
439,12.4322
439.999,12.4279
440.999,12.422
441.999,12.4179
443,12.4128
444,12.4081
444.999,12.4037
445.999,12.3994
446.999,12.3933
448,12.389
449,12.3845
450,12.3803
450.999,12.3759
451.999,12.3707
452.999,12.3665
453.999,12.3617
454.999,12.3558
455.999,12.3515
456.999,12.346
458,12.3406
458.999,12.3366
459.999,12.3307
461,12.3258
461.999,12.3214
462.999,12.3161
464,12.311
465,12.3055
465.999,12.3005
466.999,12.2956
467.999,12.2918
469,12.286
470,12.2816
471,12.2764
471.999,12.2725
472.999,12.2671
473.999,12.2626
474.999,12.2572
476,12.2527
477,12.2476
477.999,12.2437
478.999,12.24
479.999,12.2349
480.999,12.2298
482,12.2255
483,12.2205
483.999,12.2153
485,12.21
485.999,12.2058
487,12.2007
487.999,12.1958
488.999,12.1906
489.999,12.1865
491,12.1815
492,12.1766
493,12.1715
493.999,12.1657
494.999,12.1613
495.999,12.1564
497,12.151
497.999,12.1459
498.999,12.1413
499.999,12.1358
501,12.131
502,12.1263
502.999,12.1205
504,12.1159
505,12.1113
505.999,12.1056
506.999,12.1003
508,12.0965
508.999,12.0907
509.999,12.0859
511,12.0798
511.999,12.0753
512.999,12.0713
513.999,12.0661
514.999,12.0609
516,12.058
517,12.0526
517.999,12.0496
518.999,12.0453
520,12.0401
520.999,12.0367
521.999,12.0321
522.999,12.0283
524,12.0227
524.999,12.0189
525.999,12.0139
526.999,12.0097
528,12.0054
528.999,12.0015
529.999,11.9961
531,11.9916
532,11.9862
532.999,11.983
533.999,11.9782
535,11.9745
536,11.9698
536.999,11.9662
538,11.9612
538.999,11.9553
539.999,11.9508
541,11.9463
542,11.9418
542.999,11.9366
543.999,11.9316
545,11.9265
545.999,11.9218
546.999,11.9167
548,11.9121
549,11.9072
549.999,11.9019
551,11.897
551.999,11.8927
552.999,11.8892
554,11.8852
554.999,11.8797
556,11.8752
556.999,11.8713
558,11.8663
558.999,11.8624
559.999,11.8576
561,11.8531
561.999,11.8494
562.999,11.8446
564,11.8404
564.999,11.8357
565.999,11.8311
567,11.8272
567.999,11.8221
568.999,11.8185
570,11.8138
571,11.8091
571.999,11.8046
572.999,11.8011
574,11.7961
574.999,11.7916
575.999,11.7865
577,11.7822
577.999,11.778
579,11.7734
579.999,11.7692
581,11.7643
582,11.7596
582.999,11.7555
583.999,11.7509
585,11.7461
585.999,11.7419
586.999,11.7371
588,11.7318
588.999,11.7284
589.999,11.7234
591,11.7191
592,11.7135
592.999,11.71
594,11.7062
595,11.7019
595.999,11.6979
597,11.6921
597.999,11.6886
598.999,11.6823
600,11.6787
600.999,11.6751
601.999,11.6705
602.999,11.6661
604,11.6614
604.999,11.6569
606,11.6521
606.999,11.6488
608,11.6447
608.999,11.6395
609.999,11.6354
610.999,11.6316
611.999,11.6272
613,11.6219
613.999,11.6178
615,11.6135
615.999,11.6092
617,11.6053
617.999,11.6022
618.999,11.5968
620,11.5917
620.999,11.5884
622,11.5833
622.999,11.5798
624,11.5753
624.999,11.572
626,11.5666
626.999,11.5632
627.999,11.5595
629,11.5546
629.999,11.5507
631,11.5459
631.999,11.5423
632.999,11.5378
633.999,11.5327
634.999,11.5286
636,11.5254
636.999,11.5217
638,11.5167
638.999,11.5125
640,11.5082
640.999,11.5044
642,11.4992
642.999,11.4957
644,11.4911
645,11.4865
645.999,11.4817
647,11.4779
647.999,11.475
648.999,11.4696
650,11.4655
650.999,11.4616
651.999,11.4555
652.999,11.4513
653.999,11.4478
654.999,11.4439
655.999,11.4388
656.999,11.4351
658,11.4297
658.999,11.4264
659.999,11.4211
660.999,11.4175
661.999,11.4122
662.999,11.4081
663.999,11.4021
665,11.402
666,11.3887
666.999,11.3895
668,11.3856
668.999,11.3813
670,11.3766
671,11.3737
672,11.369
672.999,11.3654
673.999,11.3616
674.999,11.3565
675.999,11.3532
676.999,11.3489
677.999,11.344
678.999,11.3405
680,11.3347
680.999,11.3311
682,11.3259
682.999,11.3221
683.999,11.3173
685,11.3128
685.999,11.3091
687,11.3049
687.999,11.3011
688.999,11.2974
690,11.2931
690.999,11.2889
691.999,11.2851
693,11.2799
693.999,11.2764
694.999,11.2721
696,11.2684
696.999,11.264
697.999,11.2597
698.999,11.2565
699.999,11.252
701,11.2477
701.999,11.2442
703,11.2397
703.999,11.2355
705,11.231
705.999,11.2268
706.999,11.2237
708,11.2193
708.999,11.2152
709.999,11.2116
710.999,11.2066
712,11.2032
